                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1482,                 5.4157,                  4.214,                      0,                      0,                      0,                      0,                 3.6467,                 5.5803,                 4.1579,             0.00040476,             0.00040476,             0.00040476
                      2,                 3.7076,                 4.8326,                 3.9449,                      0,                      0,                      0,                      0,                 3.8299,                 5.6949,                 4.2714,              0.0007889,              0.0007889,              0.0007889
                      3,                 3.1545,                 4.2924,                 3.3984,                  4e-05,                0.00457,                  2e-05,                  1e-05,                 3.9053,                 5.6444,                 4.4296,                0.00114,                0.00114,                0.00114
                      4,                 2.8626,                 3.8525,                 2.9888,                0.43304,                0.10827,                0.06045,                0.02246,                  2.598,                  4.999,                 3.0657,              0.0011015,              0.0011015,              0.0011015
                      5,                 2.6499,                  3.438,                 2.7466,                0.38167,                0.14247,                0.04823,                0.01717,                 2.6319,                 4.6594,                 3.0439,              0.0011015,              0.0011015,              0.0011015
                      6,                  2.605,                 3.1964,                 2.6147,                0.42984,                0.14155,                0.09951,                0.03747,                 2.5033,                 6.5258,                 2.8581,               0.001052,               0.001052,               0.001052
                      7,                 2.5049,                 3.0281,                 2.5818,                0.46379,                   0.19,                0.09251,                 0.0375,                 2.4046,                 4.4234,                 2.6859,              0.0010025,              0.0010025,              0.0010025
                      8,                 2.3995,                 2.8702,                 2.4563,                0.65881,                0.15394,                0.13274,                0.05518,                 2.2256,                 3.3722,                 2.5038,               0.000953,               0.000953,               0.000953
                      9,                 2.3157,                 2.6517,                  2.335,                0.43601,                0.18304,                0.08798,                0.03245,                 2.3103,                 3.5313,                 2.5103,              0.0009035,              0.0009035,              0.0009035
                     10,                 2.2341,                 2.5528,                 2.2838,                0.63517,                0.21927,                0.16903,                 0.0713,                 2.2306,                 2.9937,                 2.4197,               0.000854,               0.000854,               0.000854
                     11,                   2.22,                 2.5167,                 2.2239,                0.19129,                0.31003,                 0.1811,                 0.0784,                  2.136,                 2.7784,                 2.3934,              0.0008045,              0.0008045,              0.0008045
                     12,                 2.1424,                 2.3966,                 2.1828,                0.25755,                0.28589,                0.21718,                0.09885,                 2.0873,                 2.6087,                 2.3261,               0.000755,               0.000755,               0.000755
                     13,                  2.136,                 2.3602,                 2.1807,                0.26804,                0.24155,                0.18457,                0.07941,                 2.0518,                 2.7623,                 2.2453,              0.0007055,              0.0007055,              0.0007055
                     14,                 2.0414,                 2.1684,                  2.089,                0.51864,                0.21005,                0.27508,                0.12061,                 2.0257,                  2.621,                 2.2073,               0.000656,               0.000656,               0.000656
                     15,                 2.1124,                 2.2292,                 2.1156,                0.23372,                0.30454,                0.19803,                0.08399,                 2.0426,                  2.691,                 2.2534,              0.0006065,              0.0006065,              0.0006065
                     16,                 1.9241,                  2.258,                 2.0594,                0.26463,                0.29393,                0.21544,                 0.0888,                 2.0137,                 2.5415,                 2.1575,               0.000557,               0.000557,               0.000557
                     17,                 1.8694,                 2.1531,                  2.032,                0.26443,                0.35031,                0.24459,                0.10998,                 1.9839,                 2.5167,                 2.1615,              0.0005075,              0.0005075,              0.0005075
                     18,                 1.8523,                  2.083,                 2.0067,                0.59514,                0.31578,                0.26715,                0.12362,                 1.9394,                 2.4429,                 2.1307,               0.000458,               0.000458,               0.000458
                     19,                 1.8133,                 1.9883,                 1.9866,                0.60456,                0.31329,                 0.2625,                0.13176,                 1.8752,                 2.3243,                 2.0896,              0.0004085,              0.0004085,              0.0004085
                     20,                  1.837,                 1.9517,                 1.9586,                0.39284,                0.29016,                0.28818,                0.14047,                 1.8403,                 2.3661,                 2.0447,               0.000359,               0.000359,               0.000359
                     21,                  1.786,                 1.9001,                 1.9192,                0.64518,                0.31074,                0.27496,                0.13411,                 1.8993,                  2.306,                 2.0907,              0.0003095,              0.0003095,              0.0003095
                     22,                 1.7272,                 1.8507,                 1.9008,                0.34909,                0.35655,                0.29935,                0.13838,                  1.835,                  2.292,                 2.0018,                0.00026,                0.00026,                0.00026
                     23,                 1.7202,                 1.8076,                 1.9016,                 0.2901,                0.37029,                0.30266,                0.15287,                 1.8399,                 2.1862,                 2.0141,              0.0002105,              0.0002105,              0.0002105
                     24,                 1.7264,                 1.8113,                  1.886,                0.30079,                0.37435,                0.30925,                0.15102,                 1.8284,                 2.1655,                 2.0228,               0.000161,               0.000161,               0.000161
                     25,                 1.6731,                 1.7583,                 1.8411,                0.30093,                0.39436,                0.31373,                0.15431,                 1.8212,                 2.1623,                 2.0027,              0.0001115,              0.0001115,              0.0001115
